Station1,Station2,line
九联圩,丙子铺,1
丙子铺,万年埠,1
万年埠,万达城,1
万达城,云谷路,1
云谷路,金斗公园,1
金斗公园,塘西河公园,1
塘西河公园,紫庐,1
紫庐,滨湖会展中心,1
滨湖会展中心,高王,1
高王,骆岗,1
骆岗,南站南广场,1
南站南广场,合肥南站,1
合肥南站,望湖城,1
望湖城,葛大店,1
葛大店,秋浦河路,1
秋浦河路,朱岗,1
朱岗,合工大南区,1
合工大南区,包公园,1
包公园,大东门,1
大东门,明光路,1
明光路,长淮,1
长淮,合肥火车站,1
三十埠,王岗,2
王岗,龙岗,2
龙岗,东二十埠,2
东二十埠,漕冲,2
漕冲,东七里,2
东七里,东五里井,2
东五里井,三里街,2
三里街,大东门,2
大东门,四牌楼,2
四牌楼,三孝口,2
三孝口,安农大,2
安农大,三里庵,2
三里庵,五里墩,2
五里墩,西七里塘,2
西七里塘,十里庙,2
十里庙,科学大道,2
科学大道,天柱路,2
天柱路,大蜀山,2
大蜀山,蜀山西,2
蜀山西,振兴路,2
振兴路,汽车西站,2
汽车西站,桂庄,2
桂庄,南岗,2
幸福坝,安大磬苑校区,3
安大磬苑校区,工大翡翠湖校区,3
工大翡翠湖校区,大学城北,3
大学城北,繁华大道,3
繁华大道,安医大二附院,3
安医大二附院,省博物院,3
省博物院,图书馆,3
图书馆,合肥大剧院,3
合肥大剧院,市政务中心,3
市政务中心,洪岗,3
洪岗,国防科技大学,3
国防科技大学,西七里塘,3
西七里塘,南新庄,3
南新庄,合肥西站,3
合肥西站,杏花村,3
杏花村,四泉桥,3
四泉桥,郑河,3
郑河,海棠,3
海棠,一里井,3
一里井,淮南路,3
淮南路,鸭林冲,3
鸭林冲,合肥火车站,3
合肥火车站,竹丝滩,3
竹丝滩,方庙,3
方庙,窦桥湾,3
窦桥湾,新海大道,3
新海大道,勤劳村,3
勤劳村,文浍苑,3
文浍苑,幼儿师范,3
幼儿师范,职教城,3
职教城,职教城东,3
职教城东,相城路,3
青龙岗,合肥七中,4
合肥七中,量子科学中心,4
量子科学中心,科大先研院,4
科大先研院,北雁湖,4
北雁湖,玉兰大道,4
玉兰大道,金桂,4
金桂,柳树塘,4
柳树塘,图书馆,4
图书馆,天鹅湖,4
天鹅湖,天鹅湖东,4
天鹅湖东,姚公庙,4
姚公庙,南屏路,4
南屏路,薛河,4
薛河,竹西,4
竹西,淝南,4
淝南,合肥南站,4
合肥南站,望湖城南,4
望湖城南,葛大店南,4
葛大店南,工经学院,4
工经学院,尧渡河路,4
尧渡河路,五里庙,4
五里庙,唐桥,4
唐桥,东七里,4
东七里,站塘,4
站塘,方庙,4
方庙,新海公园,4
新海公园,十里村,4
十里村,陶冲湖东,4
陶冲湖东,安医大四附院,4
安医大四附院,综保区,4
汲桥路,六中菱湖校区,5
六中菱湖校区,菱湖公园,5
菱湖公园,北五里井,5
北五里井,海棠,5
海棠,白水坝,5
白水坝,杏花公园,5
杏花公园,三孝口,5
三孝口,稻香楼,5
稻香楼,中国科大东区,5
中国科大东区,市第三医院,5
市第三医院,休宁路,5
休宁路,凌大塘,5
凌大塘,望湖城西,5
望湖城西,合肥南站,5
合肥南站,盛大,5
盛大,包河苑,5
包河苑,义兴,5
义兴,大连路,5
大连路,花园大道,5
花园大道,黄河路,5
黄河路,扬子江路,5
扬子江路,义城,5
义城,省行政中心东,5
省行政中心东,方兴湖,5
方兴湖,渡江纪念馆,5
渡江纪念馆,沈湾,5
沈湾,华山路,5
华山路,云谷路,5
云谷路,清水冲,5
清水冲,云川公园,5
云川公园,滨湖竹园,5
滨湖竹园,贵阳路,5
开福寺,梦城,6
梦城,松荫桥,6
松荫桥,洪岗,6
洪岗,炮兵学院,6
炮兵学院,南七里,6
南七里,市第三医院,6
市第三医院,卫岗,6
卫岗,朱岗,6
朱岗,尧渡河路,6
尧渡河路,唐大楼,6
唐大楼,市儿童医院,6
市儿童医院,市博物馆,6
市博物馆,钢红,6
钢红,大兴集,6
大兴集,伏龙,6
伏龙,龙塘,6
天津路,义城,7
义城,徽富路,7
徽富路,嵩山路,7
嵩山路,紫庐,7
紫庐,广西路,7
广西路,要素大市场,7
要素大市场,习友路,7
习友路,清潭路,7
清潭路,耕耘路,7
耕耘路,石门路,7
石门路,天都路,7
天都路,莲花路,7
莲花路,松谷路,7
松谷路,繁华大道,7
繁华大道,松林路,7
